Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"160.24","Treponema pallidum strain UW-148B",,160,"131567;2;203691;203692;136;2845253;157;160","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","UW-148B",,,,,,,,,,,,,,,,,,,,"Good","2019-10-13T00:00:00Z",,,"PRJNA534087","SAMN11476981","GCA_009017435.1",,"CP045005","University of Washington","Complete","Illumina MiSeq","192.3x","SPAdes v. v3.13.0",,,1,1139562,52.786198,1,1139562,43,1,,1027,,,,,,"rabbit",,"2003",2003,,"USA","North America","USA: Washington",,"Human, Homo sapiens","Human",,,"syphilis","Human",,,,"collected_by:Christina Marra","WGS of two Treponema pallidum isolates from a single patient","2019-10-27T23:56:14.688Z","2019-10-27T23:56:14.688Z"
"160.25","Treponema pallidum strain UW-148B2",,160,"131567;2;203691;203692;136;2845253;157;160","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","UW-148B2",,,,,,,,,,,,,,,,,,,,"Good","2019-10-13T00:00:00Z",,,"PRJNA534087","SAMN11476982","GCA_009017475.1",,"CP045004","University of Washington","Complete","Illumina MiSeq","275.1x","SPAdes v. v3.13.0",,,1,1139560,52.78594,1,1139560,43,1,,1030,,,,,,"rabbit",,"2009",2009,,"USA","North America","USA: Washington",,"Human, Homo sapiens","Human",,,"syphilis","Human",,,,"collected_by:Christina Marra","WGS of two Treponema pallidum isolates from a single patient","2019-10-27T23:57:23.050Z","2019-10-27T23:57:23.050Z"
"160.27","Treponema pallidum strain A10",,160,"131567;2;203691;203692;136;2845253;157;160","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","A10",,,,,,,,,,,,,,,,,,,,"Good","2020-02-24T00:00:00Z",,,"PRJEB25146","SAMEA104640492","GCA_900291945.1",,"OMPM00000000","URMITE","Complete",,,,,,1,1140446,52.793964,1,1140446,42,6,,1021,98.8,98.7,,,,,,,,,,,,,,,,,,,,,,,"Treponema pallidum strain A10 was isolated from Niokolo Forestry Guard sample","2020-04-12T12:05:25.764Z","2020-04-12T12:05:25.764Z"
"160.28","Treponema pallidum strain A12",,160,"131567;2;203691;203692;136;2845253;157;160","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","A12",,,,,,,,,,,,,,,,,,,,"Good","2020-02-26T00:00:00Z",,,"PRJEB25205","SAMEA104653446","GCA_900298905.1",,"OMHU00000000","URMITE","Complete",,,,,,1,1140560,52.747063,1,1140560,41,6,,1076,98.5,97.6,,,,,,,,,,,,,,,,,,,,,,,"Treponema pallidum strain A12 was isolated from Niokolo Forestry Guard sample","2020-04-12T12:05:26.342Z","2020-04-12T12:05:26.342Z"
"160.29","Treponema pallidum strain BNK07",,160,"131567;2;203691;203692;136;2845253;157;160","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","BNK07",,,,,,,,,,,,,,,,,,,,"Good","2020-02-26T00:00:00Z",,,"PRJEB25218","SAMEA104653695","GCA_900298965.1",,"OMHW00000000","URMITE","Complete",,,,,,1,1140463,52.785374,1,1140463,42,6,,1027,98.8,98.5,,,,,,,,,,,,,,,,,,,,,,,"Treponema pallidum strain BNK07 was isolated from Niokolo Forestry Guard sample","2020-04-12T12:05:28.869Z","2020-04-12T12:05:28.869Z"
"160.30","Treponema pallidum strain SNK05",,160,"131567;2;203691;203692;136;2845253;157;160","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","SNK05",,,,,,,,,,,,,,,,,,,,"Good","2020-02-26T00:00:00Z",,,"PRJEB25219","SAMEA104653696","GCA_900298975.1",,"OMHZ00000000","URMITE","Complete",,,,,,1,1140661,52.698734,1,1140661,41,6,,1132,98.2,97,,,,,,,,,,,,,,,,,,,,,,,"Treponema pallidum strain SNK05 was isolated from Simenti group sample","2020-04-12T12:16:03.448Z","2020-04-12T12:16:03.448Z"
"161.100","Treponema pallidum subsp. pallidum TpN-CL2",,161,"131567;2;203691;203692;136;2845253;157;160;161","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","TpN-CL2",,,,,,,,,,,,,,,,,"Not applicable",,,"Good","2022-04-17T00:00:00Z",,,"PRJNA825109","SAMN27502669","GCA_023016445.1",,"CP095419",,"Complete","Illumina MiSeq","57.62x","Snippy v. 4.3.6",,,1,1139537,52.790913,1,1139537,43,5,,1027,96.4,96.2,,100,,"cerebrospinal fluid",,"1912-06-30",1912,,"USA","North America","USA: DC, Washington",,"Homo sapiens","Human","male","25","syphilis","Human",,"rabbits since 1912, in vitro culture 2017-","host_description:Male","identified_by:Diane G. Edmondson, Steven J. Norris;collected_by:H. J. Nichols, W. H. Hough",,"2022-04-26T18:59:49.386Z","2022-04-26T18:59:49.386Z"
"161.101","Treponema pallidum subsp. pallidum strain Madras",,161,"131567;2;203691;203692;136;2845253;157;160;161","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum","Bacteria","null","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","Madras",,,,,,,,,,,,,,,,,,,,"Good","2022-09-06T00:00:00Z",,,"PRJNA742901","SAMN19986645","GCA_024971635.1",,"CP078121","Masaryk University, Faculty of Medicine",,"Illumina MiSeq","1087x","IDBA_UD v. v. 1.1.1",,,1,1139672,52.789864,1,1139672,43,6,,1032,96.4,96.2,,,,"lession",,"1954",1954,,"India",,"India: Madras",,"Homo sapiens",,,,"syphilis",,,,,"collected_by:CDC","The goal of this study was to obtain the complete genome sequence of Treponema pallidum subsp. pallidum strain Madras. A high-quality genome sequence of Treponema pallidum subsp. pallidum strain Madras was assembled using a pooled segment genome sequencing technique and Illumina sequencing.","2022-10-04T02:44:42.283Z","2022-10-04T02:44:42.283Z"
"161.102","Treponema pallidum subsp. pallidum Madras",,161,"131567;2;203691;203692;136;2845253;157;160;161","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","Madras",,,,,,,,,,,,,,,,,,,,"Good","2022-09-06T00:00:00Z",,,"PRJNA742901","SAMN19986645","GCA_024971635.1",,"CP078121",,"Complete","Illumina MiSeq","1087x","IDBA_UD v. v. 1.1.1",,,1,1139672,52.789864,1,1139672,43,6,,1032,96.4,96.2,,100,,"lession",,"1954",1954,,"India","Asia","India: Madras",,"Homo sapiens","Human",,,"syphilis","Human",,,,"collected_by:CDC",,"2022-10-16T15:40:21.290Z","2022-10-16T15:40:21.290Z"
"161.104","Treponema pallidum subsp. pallidum Strasbourg_6715",,161,"131567;2;203691;203692;136;2845253;157;160;161","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","Strasbourg_6715",,,,,,,,,,,,,,,,,,,,"Good","2023-01-26T00:00:00Z",,,"PRJNA912995","SAMN32270356",,,"CP115658",,,"Illumina MiSeq","13.99x","EAGER v. 2.4.5",,,1,1139553,52.69727,1,1139553,42,5,,1096,96.3,94.3,4,100,,"autopsy case 6715 FFPE",,"1947",1947,,"France","Europe","France: Strasbourg",,"Homo sapiens","Human","male","9 days","Congenital Syphilis","Human",,,"host_disease_outcome:death","collected_by:Institute of Pathological Anatomy of the Faculty of Medicine of the University of Strasbourg",,"2023-02-15T02:48:04.883Z","2023-02-15T02:48:04.883Z"
"161.105","Treponema pallidum subsp. pallidum SS14",,161,"131567;2;203691;203692;136;2845253;157;160;161","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","SS14",,,,,,,,,,,,,,,,,,,,"Good","2023-03-14T00:00:00Z",,,"PRJNA885511","SAMN31097693",,,"CP111128",,,"Illumina MiSeq","253.0x","SPAdes v. 3.15",,,1,1139542,52.768696,1,1139542,41,5,,1035,96.4,96.2,,100,,"in vitro culture",,"2021",2021,,,,"not applicable",,"Homo sapiens","Human",,,"Syphilis","Human",,"Week10",,"collected_by:Lorenzo Giacani, University of Washington;sample_type:coculture with SfEP1",,"2023-03-26T21:19:14.736Z","2023-03-26T21:19:14.736Z"
"161.106","Treponema pallidum subsp. pallidum SS14",,161,"131567;2;203691;203692;136;2845253;157;160;161","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","SS14",,,,,,,,,,,,,,,,,,,,"Good","2023-03-14T00:00:00Z",,,"PRJNA885511","SAMN31097692",,,"CP111129",,,"Illumina MiSeq","287.0x","SPAdes v. 3.15",,,1,1139545,52.76888,1,1139545,40,5,,1036,96.4,96.2,,100,,"in vitro culture",,"2021",2021,,,,"not applicable",,"Homo sapiens","Human",,,"Syphilis","Human",,"Week9",,"collected_by:Lorenzo Giacani, University of Washington;sample_type:coculture with SfEP1",,"2023-03-26T21:19:14.370Z","2023-03-26T21:19:14.370Z"
"161.107","Treponema pallidum subsp. pallidum SS14",,161,"131567;2;203691;203692;136;2845253;157;160;161","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pallidum;Treponema pallidum subsp. pallidum","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pallidum","Complete","SS14",,,,,,,,,,,,,,,,,,,,"Good","2023-03-14T00:00:00Z",,,"PRJNA885511","SAMN31097691",,,"CP111130",,,"Illumina MiSeq","136.0x","SPAdes v. 3.15",,,1,1139546,52.769306,1,1139546,41,5,,1041,96.5,96.2,,100,,"in vitro culture",,"2021",2021,,,,"not applicable",,"Homo sapiens","Human",,,"Syphilis","Human",,"Week8",,"collected_by:Lorenzo Giacani, University of Washington;sample_type:coculture with SfEP1",,"2023-03-26T22:00:46.173Z","2023-03-26T22:00:46.173Z"
