Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"120682.3","Treponema sp. OMZ 803 BF2M",,120682,"131567;2;203691;203692;136;2845253;157;2638727;120682","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;unclassified Treponema;Treponema sp. OMZ 803","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema sp. OMZ 803","Complete","BF2M",,,,,,,,,,,,,,,,,,,,"Good","2022-07-07T00:00:00Z",,,"PRJNA284866","SAMN03733599","GCA_024181165.1",,"CP051195",,"Complete","Illumina HiSeq; Oxford Nanopore MiniION","369.0x","Canu v. 1.8; pilon v. 1.22",,,1,2804974,44.435387,1,2804974,49,3,,2756,94.3,93.4,11.1,100,,"Dental plaque",,"1997-06-24",1997,,"Switzerland","Europe","Switzerland",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-30T05:46:10.369Z","2022-07-30T05:46:10.369Z"
"1291379.29","Treponema pedis str. T A4",,1291379,"131567;2;203691;203692;136;2845253;157;409322;1291379","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema pedis;Treponema pedis str. T A4","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema pedis","Complete","T A4",,,,,,,,,,,,,,,,,,,"Representative","Good","2014-01-31T00:00:00Z","23977007",,"PRJNA188500","SAMN02603890","GCA_000447675.1",,"CP004120",,,"Sanger dideoxy sequencing; 454; Illumina",,"Newbler v. 2.3; Consed v. 19.0",,,1,2889325,36.898563,1,2889325,45,6,,2846,94.4,93,,100,,,,,,,,,,,,,,,,,,,,,,"2022-12-09T19:00:31.333Z","2022-12-09T19:00:31.333Z"
"138851.4","Treponema parvum strain ATCC 700770",,138851,"131567;2;203691;203692;136;2845253;157;138851","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema parvum","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema parvum","Complete","ATCC 700770",,,,,,,,,,,,,,,,,"ATCC:700770",,"Representative","Good","2021-04-09T00:00:00Z",,,"PRJNA284866","SAMN15062831","GCA_017893965.1",,"CP054142","The University of Hong Kong","Complete","Illumina HiSeq; Oxford Nanopore MiniION","921.0x","SPAdes v. 3.12.0; Unicycler v. 0.4.5;",,,1,2658287,43.982986,1,2658287,47,2,,2495,92.9,91.5,,,,"dental plaque",,,,,,,,,"Homo sapiens","Human",,,,"Human",,,,,"Complete genome sequencing of human oral Treponema species.","2021-04-25T15:57:11.614Z","2021-04-25T15:57:11.614Z"
"162.10","Treponema phagedenis strain B43.1",,162,"131567;2;203691;203692;136;2845253;157;162","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema phagedenis","Bacteria","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema phagedenis","Complete","B43.1",,,,,,,,,,,,,,,,,,,"Representative","Good","2019-08-30T00:00:00Z",,,"PRJNA559067","SAMN12512735","GCA_008153345.1",,"CP042818","University of Bern","Complete","PacBio","2308x","HGAP v. 4",,,1,3372116,39.907494,1,3372116,46,3,,3538,,,,,,,,"2018",2018,,"Switzerland","Europe","Switzerland",,"Bos taurus","Cow",,,,"Nonhuman Mammal",,,,"sample_type:tissue sample","Treponema phagedenis Genome sequencing","2019-10-02T02:51:20.223Z","2019-10-02T02:51:20.223Z"
"1643512.3","Treponema sp. OMZ 855",,1643512,"131567;2;203691;203692;136;2845253;157;2638727;1643512","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;unclassified Treponema;Treponema sp. OMZ 855","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema sp. OMZ 855","Complete","OMZ 855",,,,,,,,,,,,,,,,,,,,"Good","2022-07-07T00:00:00Z",,,"PRJNA284866","SAMN11253840","GCA_024181145.1",,"CP051194",,"Complete","Illumina HiSeq; Oxford Nanopore MiniION","1046x","SPAdes v. 3.12.0; Unicycler v. 0.4.5;",,,1,2689385,44.50356,1,2689385,49,4,,2592,94.4,94,,100,,"subgingival plaque",,"1998-05",1998,,"China","Asia","China",,"Homo sapiens","Human",,,"Gingivitis","Human",,,,,,"2022-07-30T05:46:11.699Z","2022-07-30T05:46:11.699Z"
"1643513.3","Treponema sp. OMZ 857",,1643513,"131567;2;203691;203692;136;2845253;157;2638727;1643513","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;unclassified Treponema;Treponema sp. OMZ 857","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema sp. OMZ 857","Complete","OMZ 857",,,,,,,,,,,,,,,,,,,,"Good","2022-07-07T00:00:00Z",,,"PRJNA284866","SAMN11253841","GCA_024181085.1",,"CP051147",,"Complete","Illumina HiSeq; Oxford Nanopore MiniION","620.0x","Canu v. 1.8; pilon v. 1.22",,,1,2842704,44.25424,1,2842704,52,4,,2760,94.8,94,,100,,"subgingival plaque",,"1998-04",1998,,"China","Asia","China",,"Homo sapiens","Human",,,"Acute Necrotizing Ulcerative Gingivitis","Human",,,,,,"2022-07-30T05:46:13.543Z","2022-07-30T05:46:13.543Z"
"1659192.3","Treponema sp. OMZ 305",,1659192,"131567;2;203691;203692;136;2845253;157;2638727;1659192","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;unclassified Treponema;Treponema sp. OMZ 305","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema sp. OMZ 305","Complete","OMZ 305",,,,,,,,,,,,,,,,,,,,"Good","2022-07-07T00:00:00Z",,,"PRJNA284866","SAMN03733597","GCA_024181325.1",,"CP051300",,"Complete","Illumina HiSeq; PacBio RSII","731.0x","Canu v. 1.8; pilon v. 1.22",,,1,2629551,45.051037,1,2629551,49,2,,2497,94,93.3,,100,,"dental plaque",,"1985",1985,,"USA","North America","USA: Philadelphia",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-30T05:46:22.887Z","2022-07-30T05:46:22.887Z"
"166.374","Treponema sp. nC27_bin.160.fa",,166,"131567;2;203691;203692;136;2845253;157;2638727;166","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;unclassified Treponema;Treponema sp.","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema sp.","Complete","nC27_bin.160.fa",,,,,,,,,,,,,,,,,,,,"Good","2022-02-05T00:00:00Z",,,"PRJNA678454","SAMN23483836","GCA_022010055.1",,"CP091737",,"Complete","Oxford Nanopore MiniION, Illumina HiSeq","912x","Flye v. 2.4.2",,,1,2061681,41.552235,1,2061681,44,6,,2584,92.9,86.2,,,,"stool",,"2018-09-29",2018,,"South Africa","Africa","South Africa: Bushbuckridge, Mpumalanga",,"Homo sapiens","Human",,,,"Human",,,,"sample_type:metagenomic assembly",,"2022-02-26T23:24:52.824Z","2022-02-26T23:24:52.824Z"
"221027.38","Treponema putidum OMZ 758",,221027,"131567;2;203691;203692;136;2845253;157;221027","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema putidum","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema putidum","Complete","OMZ 758",,,,,,,,,,,,,,,,,"ATCC:700334",,"Representative","Good","2014-10-30T00:00:00Z","25342686",,"PRJNA257943","SAMN02980915","GCA_000755145.1",,"CP009228,CP009229",,,"454","54x","454 Newbler v. 2.7",,1,2,2800562,37.294254,1,2796913,45,2,,2773,95.2,93.7,,100,,"periodontitis lesion",,"1993",1993,,"Switzerland","Europe","Switzerland",,"Homo sapiens","Human",,,"periodontitis","Human",,,,"collected_by:C. Wyss",,"2022-12-09T19:01:41.881Z","2022-12-09T19:01:41.881Z"
"243275.19","Treponema denticola ATCC 35405",,243275,"131567;2;203691;203692;136;2845253;157;158;243275","cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;Treponema denticola;Treponema denticola ATCC 35405","Bacteria",,"Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema denticola","Complete","ATCC 35405",,,,,,,,,,,,,,,,,,,"Representative","Good","2014-01-31T00:00:00Z","15064399",,"PRJNA4","SAMN02603967","GCA_000008185.1",,"AE017226",,,,,,,,1,2843201,37.873756,1,2843201,44,6,,2812,95.3,94.6,,100,,,,,,,,,,,,,,,,,,,,,,"2022-12-09T19:00:27.773Z","2022-12-09T19:00:27.773Z"
