Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"100901.6","Wolbachia endosymbiont of Onchocerca ochengi strain wOo",,100901,"131567;2;1224;28211;766;942;952;953;2640676;100901","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Onchocerca ochengi","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Onchocerca ochengi","Complete","wOo",,,,,,,,,,,,,,,,,,,,"Good","2012-07-30T00:00:00Z",,,"PRJNA81837","SAMEA2272360","GCA_000306885.1",,"HE660029.1",,"Complete",,,,,,1,957990,32.1,1,957990,34,2,,886,97.8,97.6,0.6,96,,,,,,,,,,,,,,,,,,,,,"-","2014-12-08T22:13:49.255Z","2015-03-16T03:17:09.594Z"
"109663.6","Wolbachia endosymbiont of Drosophila mauritiana strain wMau",,109663,"131567;2;1224;28211;766;942;952;953;2640676;109663","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Drosophila mauritiana","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Drosophila mauritiana","Complete","wMau",,,,"MLST.Wolbachia.15",,,,,,,,,,,,,,,,"Good","2019-04-16T00:00:00Z","30976027",,"PRJNA508212","SAMN10519763","GCA_004795955.1",,"CP034334",,"Complete","PacBio RSII","44.0x","canu v. v1.5",,,1,1273527,33.996765,1,1273527,34,3,,1294,99.3,98.8,,,,,,"2018-07",2018,,"USA","North America","USA: Boston",,"Drosophila mauritiana",,,,,,,,,"sample_type:whole organism;biomaterial_provider:Frydman Lab, Boston University","Development of LEFT-SEQ (Large Enriched Fragment Targeted Sequencing) for Wolbachia genome assembly","2019-07-17T19:33:55.518Z","2019-07-17T19:33:55.518Z"
"109663.7","Wolbachia endosymbiont of Drosophila mauritiana strain wMau",,109663,"131567;2;1224;28211;766;942;952;953;2640676;109663","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Drosophila mauritiana","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Drosophila mauritiana","Complete","wMau",,,,"MLST.Wolbachia.15",,,,,,,,,,,,,,,,"Good","2019-04-16T00:00:00Z","30976027",,"PRJNA508212","SAMN10519765","GCA_004795975.1",,"CP034335",,"Complete","PacBio RSII","71.0x","canu v. v1.5",,,1,1273530,33.997,1,1273530,34,3,,1291,99.3,98.9,,,,,,"2018-07",2018,,"USA","North America","USA: Boston",,"Drosophila mauritiana",,,,,,,,,"sample_type:whole organism;biomaterial_provider:Frydman Lab, Boston University","Development of LEFT-SEQ (Large Enriched Fragment Targeted Sequencing) for Wolbachia genome assembly","2019-07-17T19:37:24.025Z","2019-07-17T19:37:24.025Z"
"1116230.25","Wolbachia pipientis wAlbB",,1116230,"131567;2;1224;28211;766;942;952;953;955;1116230","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;Wolbachia pipientis;Wolbachia pipientis wAlbB","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia pipientis","Complete","wAlbB",,,,"MLST.Wolbachia.464",,,,,,,,,,,,,,,,"Good","2019-02-12T00:00:00Z","30715337",,"PRJNA454708","SAMN09012283","GCA_004171285.1",,"CP031221",,"Complete","PacBio","400.0x","HGAP v. 3",,,1,1484007,34.425377,1,1484007,34,3,,1500,99.4,99,,,,"Aa23 cell line",,"2017-11",2017,,"USA","North America","USA",,"Aedes albopictus","Asian tiger mosquito",,,,"Insect",,,,"sample_type:Spent media from Aa23 cell culture","Wolbachia pipientis wAlbB strain from Aedes albopictus cell line Aa23. Sequenced and assembled at New England Biolabs, 2017-2018.","2019-07-15T20:24:33.146Z","2019-07-15T20:24:33.146Z"
"116598.79","Wolbachia endosymbiont of Diaphorina citri strain KPSwDI10P38",,116598,"131567;2;1224;28211;766;942;952;953;2640676;116598","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Diaphorina citri","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Diaphorina citri","Complete","KPSwDI10P38",,,,,,,,,,,,,,,,,,,,"Good","2020-05-15T00:00:00Z",,,"PRJNA603775","SAMN14560311","GCA_013096535.1",,"CP051265",,"Complete","PacBio Sequel, Illumina Miseq","171.44x","Canu v. 1.9",,,1,1542568,33.950138,1,1542568,34,3,,1514,98.7,98.4,,,,,,"2019-05-07",2019,,"USA","North America","USA: Lake Alfred, Florida",,"Diaphorina citri","Asian citrus psyllid ",,,,"Insect",,,,"lab_host:Drosophila_S2_cells;sample_type:Bacteria","Wolbachia (wDi) endosymbiont of Diaphorina citri Kuwayama (Hemiptera: Liviidae)","2020-06-04T13:58:50.030Z","2020-06-04T13:58:50.030Z"
"116598.80","Wolbachia endosymbiont of Diaphorina citri strain KPSwDI15P40",,116598,"131567;2;1224;28211;766;942;952;953;2640676;116598","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Diaphorina citri","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Diaphorina citri","Complete","KPSwDI15P40",,,,,,,,,,,,,,,,,,,,"Good","2020-05-15T00:00:00Z",,,"PRJNA603775","SAMN14560312","GCA_013096355.1",,"CP051264",,"Complete","PacBio Sequel, Illumina Miseq","196.09x","Canu v. 1.9",,,1,1538623,33.91948,1,1538623,34,3,,1484,98.7,98.4,,,,,,"2019-05-07",2019,,"USA","North America","USA: Lake Alfred, Florida",,"Diaphorina citri","Asian citrus psyllid ",,,,"Insect",,,,"lab_host:Drosophila_S2_cells;sample_type:Bacteria","Wolbachia (wDi) endosymbiont of Diaphorina citri Kuwayama (Hemiptera: Liviidae)","2020-06-04T14:00:31.658Z","2020-06-04T14:00:31.658Z"
"116598.82","Wolbachia endosymbiont of Diaphorina citri strain dawsonii",,116598,"131567;2;1224;28211;766;942;952;953;2640676;116598","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Diaphorina citri","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Diaphorina citri","Complete","dawsonii",,,,,,,,,,,,,,,,,,,,"Good","2020-07-22T00:00:00Z",,,"PRJNA544530","SAMN12136689","GCA_013458815.1",,"CP051608",,"Complete","PacBio Sequel; Oxford Nanopore GridION","676.0x","HGAP v. v7.0.0; Flye v. v2.7",,,1,1656288,33.99266,1,1656288,34,3,,1640,98.7,98.4,,,,"Diaphorina citri",,"2019",2019,,"USA","North America","USA",,,,,,,,,,,,"De-novo metagenome reconstructions using long-read sequencing without PCR amplification bias.","2020-07-28T17:48:58.277Z","2020-07-28T17:48:58.277Z"
"116598.91","Wolbachia endosymbiont of Diaphorina citri KPSwDI05P26",,116598,"131567;2;1224;28211;766;942;952;953;2640676;116598","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Diaphorina citri","Bacteria",,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Diaphorina citri","Complete","KPSwDI05P26",,,,,,,,,,,,,,,,,,,,"Good","2020-07-13T00:00:00Z",,,"PRJNA603775","SAMN14560310","GCA_013096725.2",,"CP051266",,,"PacBio Sequel; Illumina MiSeq","124.53x","Canu v. 1.9; HGAP v. 2.0; Unicycler v.",,,1,1518695,34.057533,1,1518695,32,3,,1471,97.8,97.6,,91.6,,,,"07-May-2019",2019,,"USA","North America","USA: Lake Alfred, Florida",,"Diaphorina citri","Asian citrus psyllid",,,,"Insect","Drosophila_S2_cells",,,"sample_type:Bacteria",,"2022-11-30T21:07:09.959Z","2022-11-30T21:07:09.959Z"
"116598.92","Wolbachia endosymbiont of Diaphorina citri KPSwDi3891",,116598,"131567;2;1224;28211;766;942;952;953;2640676;116598","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Diaphorina citri","Bacteria",,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Diaphorina citri","Complete","KPSwDi3891",,,,,,,,,,,,,,,,,,,,"Good","2021-07-27T00:00:00Z",,,"PRJNA603775","SAMN13940806",,,"CP048820",,,"PacBio Sequel","112.99x","Canu v. 1.9",,,1,1515037,34.035538,1,1515037,36,3,,1530,97.8,96.6,8.7,91.6,,"Drosophila s2 cells",,"2019-05-07",2019,,"USA","North America","USA: Lake Alfred, Florida",,"Diaphorina citri","Asian citrus psyllid",,,,"Insect",,,,"sample_type:Bacteria",,"2022-12-26T05:01:21.657Z","2022-12-26T05:01:21.657Z"
"116598.93","Wolbachia endosymbiont of Diaphorina citri KPSwDi2567",,116598,"131567;2;1224;28211;766;942;952;953;2640676;116598","cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachieae;Wolbachia;unclassified Wolbachia;Wolbachia endosymbiont of Diaphorina citri","Bacteria",,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Diaphorina citri","Complete","KPSwDi2567",,,,,,,,,,,,,,,,,,,,"Good","2022-01-07T00:00:00Z",,,"PRJNA603775","SAMN13940805",,,"CP048819",,,"PacBio Sequel","72.89x","Canu v. 1.9",,,1,1528786,34.07658,1,1528786,34,3,,1540,97.9,96.5,10.9,91.6,,"Drosophila s2 cells",,"2019-05-07",2019,,"USA","North America","USA: Lake Alfred, Florida",,"Diaphorina citri","Asian citrus psyllid",,,,"Insect",,,,"sample_type:Bacteria",,"2022-12-26T05:01:16.205Z","2022-12-26T05:01:16.205Z"
