genusspecies	full_ec_number	ec_numberandgroup	group	genome_id	genome_name	genusspeciespathway	genusspecies1	genus	genuspathway	patric_id	refseq_locus_tag	gene	product	productshort	ec_numberanddescription	ec_number	ec_description	pathwayid	pathway_id	genome_length	genome_size_mbp	genecount_group_by_ecnumber	genepercentage_group_by_ecnumber	genecount_group_by_ecnumber2	genepercentage_group_by_ecnumber2	total_genes_inpathway	bvbrc_genes_inpathway	genes_found_target_group_bypathway	genes_found_nontarget_group_bypathway	perc_missing_in_target_group_bypathway	perc_missing_in_nontarget_group_bypathway	avg_p_index_bypathway	pathway_name_with_loss_innontarget_group_score	loss_innontarget_group_score	pathway_name_with_PML_score	PML	genes_absent_target_group_bypathway	genes_absent_nontarget_group_bypathway	genes_absent_differential	loss_innontarget_group_composite	PML_composite	pathway_name	perc_in_species_bypathway	perc_in_genus_bypathway	perc_in_group_bypathway
Treponema_paraluiscuniculi	p10.1.2.1.12	1.2.1.12_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.827	TPCCA_0844	gap	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase 	1.2.1.12_Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.2.7.1.1	2.7.1.1_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.499	TPCCA_0505	NA	Hexokinase (EC 2.7.1.1)	Hexokinase 	2.7.1.1_Hexokinase	2.7.1.1	Hexokinase	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.2.7.1.11	2.7.1.11_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.105	TPCCA_0108	pfk	6-phosphofructokinase (EC 2.7.1.11)	6-phosphofructokinase 	2.7.1.11_6-phosphofructokinase	2.7.1.11	6-phosphofructokinase	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.2.7.2.3	2.7.2.3_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.532	TPCCA_0538	pgk	Phosphoglycerate kinase (EC 2.7.2.3)	Phosphoglycerate kinase 	2.7.2.3_Phosphoglycerate kinase	2.7.2.3	Phosphoglycerate kinase	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.4.1.1.32	4.1.1.32_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.122	TPCCA_0122	pckG	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	Phosphoenolpyruvate carboxykinase [GTP] 	4.1.1.32_Phosphoenolpyruvate carboxykinase (GTP)	4.1.1.32	Phosphoenolpyruvate carboxykinase (GTP)	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.4.1.2.13	4.1.2.13_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.648	TPCCA_0662	fbaB	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	Fructose-bisphosphate aldolase class II 	4.1.2.13_Fructose-bisphosphate aldolase	4.1.2.13	Fructose-bisphosphate aldolase	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.4.2.1.11	4.2.1.11_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.801	TPCCA_0817	eno	Enolase (EC 4.2.1.11)	Enolase 	4.2.1.11_Phosphopyruvate hydratase	4.2.1.11	Phosphopyruvate hydratase	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.5.3.1.1	5.3.1.1_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.531	TPCCA_0537	tpiA	Triosephosphate isomerase (EC 5.3.1.1)	Triosephosphate isomerase 	5.3.1.1_Triose-phosphate isomerase	5.3.1.1	Triose-phosphate isomerase	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p10.5.3.1.9	5.3.1.9_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p10	Treponema_paraluiscuniculi	Treponema	Treponema_p10	fig|545776.8.peg.472	TPCCA_0475	pgi	Glucose-6-phosphate isomerase (EC 5.3.1.9)	Glucose-6-phosphate isomerase 	5.3.1.9_Glucose-6-phosphate isomerase	5.3.1.9	Glucose-6-phosphate isomerase	p10	10	1133390	1.1	2	100	2	100	55	19	11	19	42.1	0	3.84	Glycolysis / Gluconeogenesis loss in non-target group score 0	0	Glycolysis / Gluconeogenesis PML score 700	700	8	0	8	95	7495	Glycolysis / Gluconeogenesis	47.3684210526316	84.2105263157895	57.9
Treponema_paraluiscuniculi	p1051.2.2.1.1	2.2.1.1_group A	target	545776.8	Treponema paraluiscuniculi Cuniculi A	Treponema_paraluiscuniculi_p1051	Treponema_paraluiscuniculi	Treponema	Treponema_p1051	fig|545776.8.peg.555	TPCCA_0560	tktA	Transketolase (EC 2.2.1.1)	Transketolase 	2.2.1.1_Transketolase	2.2.1.1	Transketolase	p1051	1051	1133390	1.1	2	100	2	100	5	1	1	1	0	0	1.4	Biosynthesis of ansamycins loss in non-target group score 0	0	Biosynthesis of ansamycins PML score 0	0	0	0	0	5	5	Biosynthesis of ansamycins	100	100	100
